X: 31.393433, Y: -36.798096, Z: -85.099792, Timestamp: 3988.846988
X: 10.476685, Y: -76.170349, Z: -87.046814, Timestamp: 3988.872899
X: -32.072449, Y: -54.006958, Z: -75.105286, Timestamp: 3988.898751
X: -80.471802, Y: -13.146973, Z: -55.212402, Timestamp: 3988.924682
X: -97.113037, Y: -7.481384, Z: -27.342224, Timestamp: 3988.950549
X: -95.686340, Y: 2.735901, Z: -3.506470, Timestamp: 3988.976427
X: -86.463928, Y: 0.874329, Z: 35.935974, Timestamp: 3989.002343
X: -88.722229, Y: -10.125732, Z: 30.731201, Timestamp: 3989.028212
X: -95.881653, Y: 26.412964, Z: -13.107300, Timestamp: 3989.054129
X: -113.778687, Y: 20.086670, Z: 28.483582, Timestamp: 3989.080003
X: -116.740417, Y: -7.058716, Z: 23.381042, Timestamp: 3989.105875
X: -117.137146, Y: -12.898254, Z: 3.904724, Timestamp: 3989.131792
X: -123.905945, Y: -6.150818, Z: -20.930481, Timestamp: 3989.157666
X: -116.943359, Y: 1.138306, Z: -47.418213, Timestamp: 3989.183578
X: -113.577271, Y: 10.934448, Z: -32.110596, Timestamp: 3989.209460
X: -110.919189, Y: 9.646606, Z: -10.131836, Timestamp: 3989.235335
X: -113.864136, Y: -12.524414, Z: 11.247253, Timestamp: 3989.261253
X: -107.461548, Y: -19.888306, Z: 4.017639, Timestamp: 3989.287130
X: -94.792175, Y: -13.983154, Z: 8.724976, Timestamp: 3989.313048
X: -88.650513, Y: -19.906616, Z: 23.983765, Timestamp: 3989.338922
X: -83.004761, Y: -38.519287, Z: 24.284363, Timestamp: 3989.364799
X: -76.463318, Y: -41.085815, Z: 32.348633, Timestamp: 3989.390716
X: -62.049866, Y: -33.380127, Z: 34.761047, Timestamp: 3989.416593
X: -38.822937, Y: -37.545776, Z: 62.977600, Timestamp: 3989.442510
X: -24.278259, Y: -79.112244, Z: 71.716309, Timestamp: 3989.468386
X: -24.360657, Y: -71.282959, Z: 57.089233, Timestamp: 3989.494260
X: -14.724731, Y: -62.535095, Z: 65.106201, Timestamp: 3989.520178
X: 9.230042, Y: -57.199097, Z: 60.946655, Timestamp: 3989.546041
X: 24.150085, Y: -69.145203, Z: 62.101746, Timestamp: 3989.571958
X: 28.009033, Y: -52.471924, Z: 58.316040, Timestamp: 3989.597834
X: 41.206360, Y: -23.876953, Z: 58.419800, Timestamp: 3989.623712
X: 72.909546, Y: -6.565857, Z: 60.923767, Timestamp: 3989.649629
X: 102.159119, Y: -9.164429, Z: 54.263306, Timestamp: 3989.675504
X: 81.503296, Y: -22.294617, Z: 53.918457, Timestamp: 3989.701419
X: 78.068542, Y: 13.035583, Z: 48.939514, Timestamp: 3989.727297
X: 92.268372, Y: 31.669617, Z: 50.335693, Timestamp: 3989.753160
X: 90.113831, Y: 32.505798, Z: 48.233032, Timestamp: 3989.779089
X: 66.062927, Y: 27.926636, Z: 51.359558, Timestamp: 3989.804961
X: 65.406799, Y: 45.434570, Z: 51.914978, Timestamp: 3989.830883
X: 75.230408, Y: 32.409668, Z: 57.601929, Timestamp: 3989.856763
X: 76.818848, Y: 29.608154, Z: 61.087036, Timestamp: 3989.882641
X: 93.539429, Y: 6.491089, Z: 55.023193, Timestamp: 3989.908560
X: 91.728210, Y: -31.892395, Z: 19.482422, Timestamp: 3989.934439
X: 79.917908, Y: -86.877441, Z: -24.772644, Timestamp: 3989.960358
X: 27.772522, Y: -53.826904, Z: -22.096252, Timestamp: 3989.986238
X: 19.552612, Y: -129.530334, Z: -57.185364, Timestamp: 3990.012117
X: 27.285767, Y: -99.214172, Z: -46.632385, Timestamp: 3990.038035
X: 4.092407, Y: -80.717468, Z: -31.393433, Timestamp: 3990.063912
X: -26.177979, Y: -96.794128, Z: -49.786377, Timestamp: 3990.089832
X: -46.109009, Y: -82.878113, Z: -57.487488, Timestamp: 3990.115713
X: -52.288818, Y: -68.354797, Z: -44.952393, Timestamp: 3990.141589
X: -64.305115, Y: -59.869385, Z: -29.147339, Timestamp: 3990.167508
X: -80.041504, Y: -25.091553, Z: -8.180237, Timestamp: 3990.193388
X: -100.468445, Y: -27.268982, Z: -0.138855, Timestamp: 3990.219304
X: -97.419739, Y: -48.440552, Z: -3.936768, Timestamp: 3990.245182
X: -92.631531, Y: -54.113770, Z: -5.548096, Timestamp: 3990.271054
X: -87.171936, Y: -43.223572, Z: 5.177307, Timestamp: 3990.296974
X: -81.681824, Y: -9.704590, Z: 38.140869, Timestamp: 3990.322854
X: -89.596558, Y: -28.971863, Z: 55.886841, Timestamp: 3990.348772
X: -81.463623, Y: -10.528564, Z: 49.664307, Timestamp: 3990.374651
X: -70.578003, Y: -1.028442, Z: 31.651306, Timestamp: 3990.400532
X: -87.554932, Y: 10.993958, Z: -25.257874, Timestamp: 3990.426449
X: -73.225403, Y: 3.831482, Z: -48.077393, Timestamp: 3990.452327
X: -58.706665, Y: 16.075134, Z: -59.400940, Timestamp: 3990.478248
X: -59.483337, Y: 4.867554, Z: -99.177551, Timestamp: 3990.504122
X: -61.293030, Y: -10.165405, Z: -98.680115, Timestamp: 3990.530000
X: -51.522827, Y: 5.952454, Z: -84.976196, Timestamp: 3990.555915
X: -38.795471, Y: -2.310181, Z: -104.527283, Timestamp: 3990.581789
X: -49.508667, Y: 18.313599, Z: -98.699951, Timestamp: 3990.607708
X: -28.094482, Y: 27.268982, Z: -90.913391, Timestamp: 3990.633584
X: 12.765503, Y: 18.942261, Z: -111.427307, Timestamp: 3990.659460
X: 17.851257, Y: 27.622986, Z: -104.284668, Timestamp: 3990.685377
X: 31.538391, Y: 22.499084, Z: -116.554260, Timestamp: 3990.711253
X: 36.628723, Y: 33.363342, Z: -114.317322, Timestamp: 3990.737172
X: 33.619690, Y: 56.520081, Z: -103.225708, Timestamp: 3990.763049
X: 40.312195, Y: 49.238586, Z: -102.940369, Timestamp: 3990.788927
X: 46.101379, Y: 48.008728, Z: -97.296143, Timestamp: 3990.814843
X: 58.215332, Y: 41.188049, Z: -88.049316, Timestamp: 3990.840720
X: 75.442505, Y: 42.408752, Z: -70.616150, Timestamp: 3990.866639
X: 81.910706, Y: 73.135376, Z: -98.294067, Timestamp: 3990.892515
X: 59.414673, Y: 70.909119, Z: -71.507263, Timestamp: 3990.918391
X: 78.553772, Y: 49.615479, Z: -62.231445, Timestamp: 3990.944312
X: 77.339172, Y: 39.048767, Z: -73.709106, Timestamp: 3990.970186
X: 73.658752, Y: 17.095947, Z: -94.494629, Timestamp: 3990.996086
X: 84.208679, Y: 45.568848, Z: -58.520508, Timestamp: 3991.021980
X: 77.934265, Y: 28.186035, Z: -53.944397, Timestamp: 3991.047857
X: 78.982544, Y: 26.527405, Z: -46.614075, Timestamp: 3991.073773
X: 66.905212, Y: 55.268860, Z: -36.680603, Timestamp: 3991.099648
X: 57.720947, Y: 34.178162, Z: -2.055359, Timestamp: 3991.125566
X: 70.797729, Y: 29.789734, Z: 15.380859, Timestamp: 3991.151447
X: 57.452393, Y: 32.012939, Z: 30.697632, Timestamp: 3991.177323
X: 57.267761, Y: 35.003662, Z: 49.829102, Timestamp: 3991.203243
X: 68.736267, Y: 58.453369, Z: 50.099182, Timestamp: 3991.229123
X: 60.607910, Y: 60.403442, Z: 28.953552, Timestamp: 3991.255042
X: 58.842468, Y: 61.276245, Z: 32.162476, Timestamp: 3991.280922
X: 72.221375, Y: 75.076294, Z: 30.793762, Timestamp: 3991.306799
X: 51.271057, Y: 85.462952, Z: 33.250427, Timestamp: 3991.332717
X: 21.522522, Y: 77.522278, Z: 38.764954, Timestamp: 3991.358600
X: 18.778992, Y: 96.430969, Z: 34.178162, Timestamp: 3991.384520
X: 16.558838, Y: 91.490173, Z: 31.672668, Timestamp: 3991.410399
X: 31.629944, Y: 100.170898, Z: 27.655029, Timestamp: 3991.436277
X: 28.103638, Y: 102.879333, Z: 19.064331, Timestamp: 3991.462195
X: 26.777649, Y: 84.391785, Z: 22.566223, Timestamp: 3991.488076
X: 44.564819, Y: 107.629395, Z: 4.806519, Timestamp: 3991.513997
X: 42.338562, Y: 103.369141, Z: 6.723022, Timestamp: 3991.539876
X: 9.936523, Y: 103.451538, Z: 9.652710, Timestamp: 3991.565754
X: 11.004639, Y: 75.334167, Z: 7.073975, Timestamp: 3991.591673
X: 10.997009, Y: 104.385376, Z: 6.350708, Timestamp: 3991.617557
X: 13.966370, Y: 105.319214, Z: -5.189514, Timestamp: 3991.643477
X: 16.589355, Y: 64.938354, Z: -11.857605, Timestamp: 3991.669360
X: 43.565369, Y: 135.519409, Z: -24.490356, Timestamp: 3991.695237
X: 23.440552, Y: 94.898987, Z: -14.245605, Timestamp: 3991.721148
X: 11.540222, Y: 98.619080, Z: -32.006836, Timestamp: 3991.747035
X: 17.507935, Y: 84.774780, Z: -42.846680, Timestamp: 3991.772953
